,0,1,2
0,0.45744318,0.93318385,-0.8571451
1,1.7836227,-3.7310698,-0.01947707
2,0.9950883,-1.0484462,-0.99809015
3,4.1668086,2.05153,-3.0303607
4,0.2568944,-2.531184,0.76435083
5,4.274596,0.28604382,-2.853149
6,3.2312014,-0.045657948,-3.2834382
7,2.0028512,-1.684478,-1.1021502
8,1.1839173,-0.68236625,-1.6335834
9,1.0983179,-0.86337644,-1.4848131
10,2.7074015,-1.1052293,-3.1096978
11,1.9715617,-0.92889017,-2.1610956
12,1.6630981,-3.1980693,-0.5849221
13,0.8340544,-2.3169568,-0.07545033
14,0.80732554,-0.892968,0.38759765
15,0.18837196,2.707263,-1.8938714
16,1.6459119,-2.0553744,-0.1128062
17,2.7765713,0.7127643,-2.2626295
18,1.6155269,-2.7457771,-1.2759057
19,0.6681115,-0.02751027,-0.5378578
20,-1.1523228,-1.9998606,1.3249085
21,0.6392165,-1.3502985,-0.3553394
22,-0.25215596,-1.0261254,-0.1443587
23,-0.27565277,-0.0433273,0.024879277
24,1.9723167,-2.7806199,-1.4643464
25,-0.48970056,-1.9891971,1.7297262
26,2.4829228,-2.722019,-0.9923326
27,0.16079456,0.17304511,0.32375848
28,4.288248,-0.6515142,-4.0271416
29,0.8615398,-1.5428666,-0.73986506
30,1.4248171,-0.27237642,-2.8167067
31,-0.3590706,-0.62792426,-0.6004095
32,0.92577595,1.0043961,-2.3184013
33,-0.9579525,-1.9665729,1.150861
34,1.6920962,-0.6571876,-1.7617828
35,1.9933257,0.22442268,-2.9969616
36,1.637512,-2.3508759,-0.40786517
37,1.0250964,-0.22978596,-1.614939
38,2.391094,-3.488257,-1.2813562
39,0.28230405,-0.931817,-0.8576128
40,2.3501437,-1.8597964,-2.549183
41,0.057789385,-0.90179604,0.40842676
42,-0.1304346,-1.3285226,0.23458607
43,2.7188556,-2.1049285,-0.83231217
44,7.204982,-2.0318646,-6.31728
45,3.9143035,-4.016724,-2.4414535
46,2.4498022,-2.8434978,-1.2441818
47,-0.68741316,-0.22455145,0.26597852
48,4.930585,1.2286985,-4.2532406
49,2.309798,-2.3062146,0.11189075
50,4.2770147,-1.8917164,-3.8841782
51,1.4831288,-1.445641,-1.66827
52,1.1568034,-2.1161363,-0.6956483
53,2.7732894,2.219176,-2.0275168
54,-0.27022865,0.2084319,-1.7813983
55,-1.003136,-1.5550706,0.7545196
56,1.3128409,-2.3771672,-0.5056649
57,0.8646111,-1.0287706,-0.24375278
58,-0.13567835,-2.6008189,-0.27192232
59,0.32461494,-0.8627667,-0.9716034
60,0.045558274,0.8068583,-1.2034849
61,-0.74989325,-1.5120049,0.9299009
62,-0.48784935,-0.38378316,-0.5562036
63,1.3409965,0.25183046,-2.5022826
64,2.3185208,-2.4324656,-0.90461016
65,1.115417,-1.3037541,-0.7586264
66,-1.592371,-0.40400642,1.765914
67,2.4154003,1.1607424,-3.0958996
68,0.44253224,-2.0569637,0.43953317
69,3.1352265,-2.081424,-2.4511242
70,3.0716655,-1.8106923,-2.8081183
71,0.9668909,-2.1881418,-0.073540956
72,1.1780932,-1.530438,-1.6782036
73,-0.6250025,0.25570932,-0.1682542
74,0.7581014,-1.2854999,-0.25608683
75,4.04319,-1.5371608,-3.6843634
76,3.2813144,-2.7228003,-1.9110128
77,1.3258674,-2.265431,-1.1573018
78,-0.1733717,-1.0605525,-0.17283225
79,0.9417084,-0.5181489,-1.1795315
80,0.15944105,0.07684766,-0.8451618
81,-0.76194257,-1.4644477,0.67420864
82,-0.90475917,0.31547737,-0.96428204
83,1.6257977,-0.33120036,-0.92425895
84,2.4520972,0.8330513,-3.7033234
