,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,1.2612183,0.324116,0.511703,1.24565,0.33740968,0.39405045,0.26970977,1.0248578,0.0,0.07519722,0.24440706,1.301016,0.4586565,1.5163698,1.1693852,0.42364365,1.1728725,1.0550876,0.16503868,1.2743008
1,2.1034505,0.68833107,0.034850657,1.8783896,0.09962946,0.0,0.1332148,1.1262548,0.0,0.07047127,0.06860435,1.6023579,0.0,1.993087,1.777627,0.14244998,1.7374954,1.6519717,0.0,1.3065381
2,1.2799711,0.33421844,0.5866107,1.1809996,0.43663225,0.43446365,0.38160497,1.1719949,0.0,0.030119315,0.120836884,1.178785,0.50967675,1.5685503,1.1123962,0.5327562,1.1013339,1.0089755,0.263004,1.3583912
3,0.80569386,0.16339603,0.7651626,0.91308415,0.54191893,0.6570179,0.4048664,0.9526919,0.0,0.10532626,0.37140423,1.0566424,0.7217387,1.1992152,0.8241418,0.66449344,0.8682217,0.7292702,0.39227507,1.2120456
4,1.6496294,0.27393872,0.41939282,1.3861815,0.0,0.26202893,0.0,1.347291,0.0,0.0,0.0,1.7832003,0.3586217,2.1457245,1.4658939,0.0,1.3299406,1.2786878,0.0,1.6596761
5,2.2570107,1.1797884,0.0,2.4690032,0.48749962,0.0,0.31751654,0.27552307,0.0,0.6051266,0.96518874,1.2719636,0.0,1.1800022,2.0159047,0.6267632,2.233372,1.996355,0.0,0.395023
6,1.2447793,0.42094755,0.62127876,1.1565168,0.6918147,0.4546802,0.59515554,1.165384,0.0,0.093057014,0.1793243,0.89786047,0.52322584,1.3961215,1.019114,0.829127,1.0530553,0.9568115,0.39858165,1.2583224
7,1.5979216,0.89478916,0.22091246,1.6561354,1.0758107,0.09518021,0.8715239,0.7806808,0.0,0.42250782,0.6161514,0.5372248,0.10724819,0.98658776,1.2607999,1.2897344,1.454241,1.2918283,0.32550466,0.71381515
8,1.6694541,0.45891672,0.04336101,1.765195,0.0,0.013513029,0.0,0.68192106,0.0,0.1725187,0.46548927,1.8924081,0.04797095,1.6890565,1.6796813,0.0,1.6834633,1.5152087,0.0,1.0989928
9,2.356915,1.0492325,0.0,2.3865864,0.2364198,0.0,0.16400859,0.57516825,0.0,0.40723562,0.6210878,1.5230254,0.0,1.5836512,2.0683157,0.32316,2.178792,1.9983683,0.0,0.7340156
10,1.0130382,0.29404718,0.90301627,0.8392167,0.87367165,0.68497217,0.7791268,1.400612,0.0,0.0,0.0,0.6611365,0.7770353,1.3855636,0.7441691,1.0308921,0.75268555,0.693073,0.65467805,1.429803
11,0.5964643,0.0,1.3733673,0.24480289,0.31840825,1.1120372,0.36782655,1.8631757,0.0,0.0,0.0,1.1976962,1.2743586,1.9379454,0.4851631,0.36851758,0.28581628,0.30668974,0.6935672,2.1199732
12,0.95647264,0.57998985,0.6664062,1.0924382,1.2695483,0.52722335,1.0133214,0.8534935,0.0,0.35553277,0.6070911,0.27887636,0.55846244,0.7253337,0.7512353,1.5124688,0.94720626,0.78663605,0.6642989,0.81328833
13,1.7505512,0.6869551,0.0,1.8641763,0.24911928,0.0,0.14968774,0.6239878,0.0,0.3109678,0.5979819,1.4674591,0.0,1.4268568,1.6399666,0.3367849,1.7275726,1.5468252,0.0,0.8780329
14,1.1809261,0.30432156,0.46496108,1.2728244,0.28559053,0.38437518,0.19041726,0.8544052,0.0,0.13597856,0.40222502,1.3699334,0.43656904,1.3992766,1.1780754,0.37056231,1.2080095,1.0593699,0.10246548,1.16234
15,0.813751,0.30622,0.78627115,0.91670847,0.88130087,0.65481937,0.69482183,0.9598017,0.0,0.18804157,0.43180856,0.68476254,0.7106605,0.9982132,0.7327188,1.0579298,0.83446664,0.6939592,0.5601088,1.0829468
16,2.186438,1.083084,0.0,2.2800236,0.51870966,0.0,0.383582,0.5163617,0.0,0.48579943,0.7404215,1.2094278,0.0,1.3152366,1.8906734,0.6532943,2.0591023,1.8633598,0.0,0.6022631
17,1.2803682,0.59805864,0.45609632,1.342011,0.87376463,0.3310046,0.700029,0.87954164,0.0,0.28366897,0.49142694,0.7293416,0.36666468,1.0863141,1.0738988,1.0517727,1.2029933,1.0551691,0.369403,0.93453044
18,0.9765301,0.1897099,0.95429605,0.7699661,0.7217549,0.73325694,0.6609831,1.4720969,0.0,0.0,0.0,0.8181398,0.8372281,1.5200567,0.7415029,0.85179496,0.70705754,0.6608608,0.61861914,1.5576025
19,0.88159424,0.40600836,0.82512045,0.90703905,1.110095,0.6548847,0.9147023,1.0803698,0.0,0.19466348,0.35804564,0.4262713,0.71392107,0.96627635,0.68035716,1.3183734,0.7970828,0.67690223,0.695697,1.0844458
20,1.120632,0.0,1.0015752,0.7105027,0.12035,0.7555792,0.21648929,1.7941883,0.0,0.0,0.0,1.45328,0.9024339,2.168936,0.9153741,0.1407845,0.70912635,0.7271602,0.3934998,2.046197
21,1.0382445,0.606797,0.6624133,1.1134651,1.2768254,0.50528526,1.039265,0.9375696,0.0,0.32620975,0.5240971,0.26746213,0.5419893,0.8071706,0.78063166,1.5173795,0.96137726,0.816799,0.6719431,0.86827654
22,1.0486746,0.0,0.94419765,0.74569523,0.004945457,0.7396637,0.083207965,1.6212167,0.0,0.0,0.0,1.5925872,0.87538743,2.0916328,0.94820213,0.0140244365,0.7580906,0.7454951,0.29572693,1.9556646
23,2.0586615,1.1426624,0.0,2.1750448,0.8451929,0.0,0.6541549,0.5188844,0.0,0.55062705,0.80756545,0.84389293,0.0,1.0774508,1.7121222,1.032148,1.9337599,1.7337803,0.0,0.4982847
24,0.4649762,0.50563496,0.96795225,0.72280586,1.7445831,0.8187111,1.378985,0.79669374,0.0,0.44155204,0.77435094,0.0,0.8450658,0.24213225,0.3016245,2.066599,0.58102477,0.3991437,1.0432082,0.6639503
25,0.871022,0.08068783,0.4097683,1.2394794,0.0,0.4363703,0.0,0.44904485,0.0,0.20055617,0.7301075,1.8108499,0.46945116,1.2441583,1.1906776,0.0,1.2355373,1.0140265,0.0,1.019401
26,1.6521142,0.4584353,0.35640627,1.4729943,0.22664219,0.20630872,0.22797951,1.1935151,0.0,0.013131857,0.044835865,1.4291663,0.2790838,1.8266912,1.4171162,0.2877245,1.3736327,1.2923195,0.042092025,1.3939794
27,1.26786,0.1768166,0.41808,1.3107402,0.0,0.3497905,0.0,0.91328883,0.0,0.019677073,0.2641495,1.7975472,0.41588295,1.7091655,1.3294809,0.0,1.2805479,1.1469615,0.0,1.3517778
28,1.7459688,0.90820605,0.0,2.0237007,0.5865487,0.0,0.3822155,0.3263028,0.0,0.5414372,0.9539674,1.1274211,0.0,1.0005792,1.6274532,0.74035025,1.8389015,1.6025513,0.0,0.48985732
29,0.33410063,0.0,1.441667,0.16384012,0.9128708,1.192975,0.81428444,1.621218,0.0,0.0,0.0,0.55497444,1.3233993,1.3158528,0.21024302,1.0683904,0.16112101,0.13026398,0.98506826,1.723896
30,1.0822672,0.0,0.94915956,0.7600865,0.1891337,0.7274314,0.24600482,1.646102,0.0,0.0,0.0,1.3904324,0.8595116,2.0068014,0.9123881,0.22665256,0.7496573,0.7403604,0.38487637,1.898522
31,1.3880757,0.619937,0.41423553,1.4014816,0.81049,0.2812422,0.6617358,0.9316671,0.0,0.2555651,0.4244329,0.7999558,0.32058567,1.1960862,1.1497004,0.9760924,1.2589159,1.1224233,0.32144526,0.98528
32,0.40704224,0.15904225,1.1321295,0.5087198,1.1955409,0.96218544,0.964199,1.0996459,0.0,0.14758494,0.37335438,0.30198842,1.0337396,0.78331727,0.32941833,1.4174055,0.44552955,0.3210971,0.9047342,1.1511124
33,0.78626615,0.39806712,0.9590773,0.7665867,1.3050191,0.75641644,1.0957848,1.1959299,0.0,0.17493734,0.28823245,0.1954745,0.82359505,0.901817,0.52832437,1.5399612,0.6513646,0.5485382,0.8675102,1.1237968
