,0,1,2
0,5.9487443,-1.4868912,1.3381767
1,6.291645,-2.3678796,2.57076
2,4.1120877,0.9778453,0.13172017
3,3.5336034,-0.40934163,2.2592351
4,6.07991,-0.1279045,-0.1526981
5,4.9052463,-1.2980523,2.6692104
6,5.8267255,1.0205982,-1.6358366
7,6.37988,-2.965362,3.28357
8,5.839813,0.19178544,-0.54939204
9,4.8862195,-0.09331234,0.7210635
10,6.7195544,-0.17924836,-0.79769826
11,4.77578,0.6417435,0.00917384
12,4.1770864,0.3229457,0.9371217
13,7.0261545,-1.8850671,1.3006233
14,5.227177,-2.1257932,3.2633433
15,5.939302,0.05442153,0.35733062
16,4.0501876,0.3727768,1.5269977
17,4.4327545,0.9112066,0.35937607
18,5.9504366,-2.3664012,2.8623927
19,3.5932636,0.18502434,1.9331082
20,6.9834304,-1.4697537,1.3419288
21,5.310641,-0.11099007,0.60899395
22,5.5920215,-0.015450075,-0.17724416
23,4.6556683,-0.15129687,1.2783821
24,4.2457104,1.1386849,0.4024256
25,5.2360497,1.4722815,-1.1499391
26,5.4068346,1.0865802,-0.33948392
27,7.425024,-2.039692,1.1802531
28,6.5757785,-0.18003394,-0.5148407
29,3.8062255,-0.10242438,2.1158764
30,6.2587175,-0.22236936,-0.015384257
31,4.933771,-0.935246,2.121435
32,3.8777974,0.1645238,1.178062
33,1.1223521,1.018002,2.6866157
34,4.4311633,1.0441555,0.49359685
35,4.796841,-1.3341228,2.9042401
36,6.456551,0.93213904,-1.5519052
37,5.5191493,-1.2279952,1.7169722
38,6.59858,-0.24533817,-0.2971779
39,4.931411,1.0921657,-0.8345185
40,6.1284995,-2.3722024,2.5590067
41,5.7829127,0.5389594,-0.11791051
42,5.2800927,1.0277915,-1.0340934
43,3.3669355,0.7577574,1.2688998
44,2.8729239,0.4552884,1.7986699
45,3.3730319,1.2361372,-0.28220606
46,3.2704024,0.0356732,2.6469777
47,5.9909463,-0.025513038,0.34678924
48,3.3712296,0.8294811,0.9747502
49,5.94528,-2.4295318,3.2043736
50,4.871145,1.8801055,-1.4542332
