,Unnamed: 0.1,Unnamed: 0,seed,loss,train_accuracy,validation_accuracy,test_accuracy
0,0,0,30.0,"[1.8103223085403441, 1.7511685053507486, 1.6147392352422079, 1.4102210680643716, 1.083792475859324, 0.8216069221496582, 0.6771730025609334, 0.49180975556373596, 0.4967153549194336, 0.33864680776993433, 0.3065917561451594, 0.27987881004810333, 0.27326094011465707, 0.23105334043502807, 0.24036239683628083, 0.2937708725531896, 0.2527923156817754, 0.2591347393890222, 0.18053405694663524, 0.21697458873192468, 0.14569327731927237, 0.23368939111630121, 0.13717709717651208, 0.14125251807272435, 0.1807292994732658, 0.2623327319820722, 0.20936875902116298, 0.20679193548858166, 0.23684654782215755, 0.2202917693803708, 0.15677854319413503, 0.18027694672346115, 0.15204459838569165, 0.13473420863350233, 0.1582259959851702, 0.18755817192917068, 0.14568331073969604, 0.2173249698554476, 0.12152244398991267, 0.11178551316261291, 0.10715133727838595, 0.18894632131171724, 0.1257942618181308, 0.16066021124521893, 0.08989134343961874, 0.11568318700107436, 0.18524538663526377, 0.14959689415991306, 0.14943103585392237, 0.23194198844333488]","[0.14207070707070707, 0.21368686868686868, 0.4946296296296297, 0.46296296296296297, 0.592962962962963, 0.7417676767676767, 0.7318518518518519, 0.828013468013468, 0.8222222222222223, 0.8945959595959596, 0.9026430976430978, 0.9071380471380472, 0.9045959595959597, 0.9201851851851852, 0.9424579124579124, 0.9162626262626262, 0.9214814814814816, 0.9022390572390573, 0.934915824915825, 0.9318518518518518, 0.9718518518518519, 0.9283838383838384, 0.962037037037037, 0.9791310541310542, 0.9211111111111111, 0.9114814814814817, 0.9277777777777778, 0.943989898989899, 0.8987037037037038, 0.9203703703703706, 0.9421380471380473, 0.9507407407407408, 0.9592592592592593, 0.9785185185185186, 0.9463973063973065, 0.9698653198653199, 0.9387037037037037, 0.9270370370370372, 0.9707912457912458, 0.961851851851852, 0.9731986531986532, 0.9315824915824918, 0.972962962962963, 0.9582051282051283, 0.9865319865319866, 0.9656565656565657, 0.9311279461279462, 0.9397306397306397, 0.9433333333333334, 0.9344444444444445]",0,0.499
1,1,1,30.0,"[1.821916937828064, 1.7921130657196045, 1.7776411771774292, 1.767909288406372, 1.7569280862808228, 1.742075800895691, 1.7248303890228271, 1.708667516708374, 1.6916733980178833, 1.6731679439544678, 1.6511311531066895, 1.6254369020462036, 1.5975497961044312, 1.567780613899231, 1.5358344316482544, 1.5007859468460083, 1.4628618955612183, 1.4230931997299194, 1.379483699798584, 1.3333646059036255, 1.2855162620544434, 1.235109567642212, 1.1832870244979858, 1.1297297477722168, 1.0746076107025146, 1.0185729265213013, 0.9635363817214966, 0.9076381325721741, 0.8521088361740112, 0.7975658774375916, 0.7447054982185364, 0.6932821273803711, 0.6441108584403992, 0.5978760123252869, 0.554158091545105, 0.5131546854972839, 0.47485682368278503, 0.4390578269958496, 0.405888170003891, 0.3755565285682678, 0.3478842079639435, 0.3226918876171112, 0.299791544675827, 0.2791489064693451, 0.26054418087005615, 0.24386772513389587, 0.22862890362739563, 0.21477781236171722, 0.2023215889930725, 0.19093413650989532, 0.18041640520095825, 0.17087969183921814, 0.16216769814491272, 0.15435005724430084, 0.146848663687706, 0.14009761810302734, 0.1336851269006729, 0.1276031732559204, 0.12193762511014938, 0.11683669686317444, 0.11208052933216095, 0.10750366747379303, 0.10327940434217453, 0.09940552711486816, 0.0958087369799614, 0.09258533269166946, 0.08929348737001419, 0.08624212443828583, 0.08322760462760925, 0.08054651319980621, 0.07804197818040848, 0.07578825950622559, 0.07367823272943497, 0.07166998088359833, 0.06983552128076553, 0.067990742623806, 0.06624782830476761, 0.06467831879854202, 0.06326227635145187, 0.061863817274570465, 0.06050433963537216, 0.05922603979706764, 0.05811743810772896, 0.05693956837058067, 0.05579729005694389, 0.05472780019044876, 0.053757864981889725, 0.052878446877002716, 0.0520036555826664, 0.051204513758420944, 0.05036081001162529, 0.0494660921394825, 0.04850540682673454, 0.04764402285218239, 0.04693524166941643, 0.046320490539073944, 0.04583119601011276, 0.04530742019414902, 0.044611409306526184, 0.04388083145022392, 0.043225936591625214, 0.042672257870435715, 0.04215595871210098, 0.04170709848403931, 0.04125480726361275, 0.04067160561680794, 0.0400727204978466, 0.03954748064279556, 0.039125002920627594, 0.03868849575519562, 0.03828195482492447, 0.037888191640377045, 0.03744609281420708, 0.03699638694524765, 0.036530572921037674, 0.036073021590709686, 0.03567362576723099, 0.03534368798136711, 0.03506024554371834, 0.034835584461688995, 0.034626446664333344, 0.034406837075948715, 0.034051552414894104, 0.03354689106345177, 0.03298299387097359, 0.032567400485277176, 0.03241117298603058, 0.03233838081359863, 0.032154738903045654, 0.03182381018996239, 0.031437233090400696, 0.031142352148890495, 0.030968235805630684, 0.030848506838083267, 0.030686017125844955, 0.03042471967637539, 0.030124403536319733, 0.029844898730516434, 0.029649604111909866, 0.029557835310697556, 0.029485929757356644, 0.02937011979520321, 0.029210485517978668, 0.028973670676350594, 0.028681205585598946, 0.028436046093702316, 0.028271056711673737, 0.028177695348858833, 0.028110407292842865, 0.02806202881038189, 0.027975022792816162, 0.02781124971807003, 0.027625955641269684, 0.027415266260504723, 0.027245618402957916, 0.027138588950037956, 0.027075270190835, 0.027028683573007584, 0.026967188343405724, 0.026912296190857887, 0.026823874562978745, 0.026726944372057915, 0.02662293054163456, 0.026506025344133377, 0.026362663134932518, 0.026214787736535072, 0.026092465966939926, 0.025993499904870987, 0.025938810780644417, 0.025912607088685036, 0.025889482349157333, 0.02585573121905327, 0.025834687054157257, 0.025820845738053322, 0.025828005746006966, 0.0258465688675642, 0.025845931842923164, 0.02575046196579933, 0.025479981675744057, 0.025129344314336777, 0.024928689002990723, 0.02500017359852791, 0.025209026411175728, 0.02534734271466732, 0.02530861645936966, 0.025084951892495155, 0.02487374097108841, 0.024776270613074303, 0.024832608178257942, 0.024935970082879066, 0.02496214397251606, 0.024883296340703964, 0.02473371848464012, 0.024609891697764397, 0.024565257132053375, 0.024590425193309784, 0.024642562493681908, 0.024652255699038506, 0.024599211290478706, 0.024505184963345528]","[0.16666666666666666, 0.19166666666666668, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.325, 0.3, 0.2916666666666667, 0.3333333333333333, 0.3333333333333333, 0.39166666666666666, 0.48333333333333334, 0.6, 0.7416666666666667, 0.775, 0.7916666666666666, 0.7833333333333333, 0.7833333333333333, 0.8083333333333333, 0.8083333333333333, 0.825, 0.8333333333333334, 0.8666666666666667, 0.875, 0.9083333333333333, 0.9166666666666666, 0.925, 0.9416666666666667, 0.9583333333333334, 0.9583333333333334, 0.9583333333333334, 0.9583333333333334, 0.9583333333333334, 0.9583333333333334, 0.9583333333333334, 0.9583333333333334, 0.9666666666666667, 0.9666666666666667, 0.9666666666666667, 0.975, 0.975, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.655
2,2,2,40.0,"[1.805742859840393, 1.785865306854248, 1.7703334093093872, 1.758917212486267, 1.7475075721740723, 1.7338740825653076, 1.7189154624938965, 1.702684998512268, 1.6841765642166138, 1.6634358167648315, 1.6408509016036987, 1.6162735223770142, 1.5900591611862183, 1.560620665550232, 1.5289103984832764, 1.4948033094406128, 1.4592961072921753, 1.421582579612732, 1.3826556205749512, 1.3418110609054565, 1.3001524209976196, 1.2571266889572144, 1.2142452001571655, 1.1706804037094116, 1.126293659210205, 1.0824472904205322, 1.0389807224273682, 0.9954456686973572, 0.9516890048980713, 0.9075869917869568, 0.8636400699615479, 0.8203524947166443, 0.7780874967575073, 0.7355777621269226, 0.6938685178756714, 0.6534678339958191, 0.6145902276039124, 0.5767899751663208, 0.5405448079109192, 0.5053568482398987, 0.4718864858150482, 0.4400741755962372, 0.40974336862564087, 0.38093331456184387, 0.35350626707077026, 0.32777881622314453, 0.30419859290122986, 0.2824655771255493, 0.262430876493454, 0.24400275945663452, 0.22744713723659515, 0.21226748824119568, 0.1986769288778305, 0.1862848401069641, 0.17518331110477448, 0.1652110517024994, 0.1561085432767868, 0.1479954570531845, 0.14076191186904907, 0.13396123051643372, 0.12768682837486267, 0.12195238471031189, 0.11668191850185394, 0.11158423125743866, 0.10707812756299973, 0.10282187908887863, 0.0988367348909378, 0.09507336467504501, 0.09164229035377502, 0.08850620687007904, 0.08551568537950516, 0.08255429565906525, 0.07983612269163132, 0.07736269384622574, 0.07497964799404144, 0.07281354069709778, 0.07079055905342102, 0.06894506514072418, 0.06704005599021912, 0.06527172029018402, 0.06368788331747055, 0.062178004533052444, 0.06063198298215866, 0.05913056060671806, 0.05785677954554558, 0.05665988475084305, 0.05547020211815834, 0.05428796634078026, 0.05325324088335037, 0.05225647613406181, 0.05130239203572273, 0.050357211381196976, 0.049460459500551224, 0.04859118163585663, 0.04771587997674942, 0.047022756189107895, 0.046500314027071, 0.04622780531644821, 0.04563242197036743, 0.044277820736169815, 0.04323742911219597, 0.04299752786755562, 0.042397890239953995, 0.04157610982656479, 0.041265249252319336, 0.04091520607471466, 0.04027574881911278, 0.039826806634664536, 0.03950377553701401, 0.038934871554374695, 0.03842424973845482, 0.03815320506691933, 0.03767174109816551, 0.03724425658583641, 0.037019409239292145, 0.03659834340214729, 0.036172959953546524, 0.035947613418102264, 0.035561852157115936, 0.03519370034337044, 0.034953001886606216, 0.03460581600666046, 0.03428632766008377, 0.034038860350847244, 0.03375105932354927, 0.03344012424349785, 0.03316386044025421, 0.03288279473781586, 0.032638926059007645, 0.03239308297634125, 0.03215130418539047, 0.03192027285695076, 0.031663306057453156, 0.03142353519797325, 0.03121946193277836, 0.03099210001528263, 0.03086840733885765, 0.030906561762094498, 0.031065406277775764, 0.03087843582034111, 0.030020570382475853, 0.02924863062798977, 0.029409248381853104, 0.029499715194106102, 0.029015498235821724, 0.028901370242238045, 0.02901642397046089, 0.028752170503139496, 0.028493516147136688, 0.028465542942285538, 0.02823927439749241, 0.027957864105701447, 0.02793828770518303, 0.027830515056848526, 0.027560817077755928, 0.02746110036969185, 0.02744848094880581, 0.027231452986598015, 0.027012072503566742, 0.02695857733488083, 0.026864873245358467, 0.026653194800019264, 0.026539316400885582, 0.02647392265498638, 0.026310252025723457, 0.026171792298555374, 0.026083294302225113, 0.025982024148106575, 0.025872807949781418, 0.025759708136320114, 0.025675712153315544, 0.025598516687750816, 0.02546573244035244, 0.025355679914355278, 0.02528282254934311, 0.025179386138916016, 0.02507517859339714, 0.024967337027192116, 0.02488178014755249, 0.024816086515784264, 0.02471441775560379, 0.024634897708892822, 0.02456381358206272, 0.02448933944106102, 0.024437526240944862, 0.024393847212195396, 0.024444960057735443, 0.02470649965107441, 0.025452686473727226, 0.02671908773481846, 0.026439933106303215, 0.02335258573293686, 0.023030245676636696, 0.024285869672894478, 0.022651901468634605, 0.02353866584599018, 0.024347906932234764, 0.02320176549255848, 0.024218115955591202, 0.024236954748630524]","[0.16666666666666666, 0.16666666666666666, 0.24166666666666667, 0.3416666666666667, 0.35833333333333334, 0.3416666666666667, 0.39166666666666666, 0.4666666666666667, 0.5166666666666667, 0.55, 0.5833333333333334, 0.5916666666666667, 0.5916666666666667, 0.5666666666666667, 0.575, 0.6, 0.6083333333333333, 0.6083333333333333, 0.6, 0.625, 0.6583333333333333, 0.6916666666666667, 0.75, 0.7833333333333333, 0.8166666666666667, 0.825, 0.8666666666666667, 0.875, 0.8833333333333333, 0.8916666666666667, 0.9083333333333333, 0.9083333333333333, 0.925, 0.925, 0.925, 0.9333333333333333, 0.9416666666666667, 0.9416666666666667, 0.95, 0.95, 0.9583333333333334, 0.975, 0.9833333333333333, 0.9833333333333333, 0.9833333333333333, 0.9916666666666667, 0.9916666666666667, 0.9916666666666667, 0.9916666666666667, 0.9916666666666667, 0.9916666666666667, 0.9916666666666667, 0.9916666666666667, 0.9916666666666667, 0.9916666666666667, 0.9916666666666667, 0.9916666666666667, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,0.65
